== Original Bounds  ==
Notation : a0_top(LE)  a1_top      a2_top      a3_top      a4_top      a5_top(TE)  a0_bot(LE)  a1_bot      a2_bot       a3_bot      a4_bot     a5_bot(TE)
du91W2250.dat                  : 0.24309     0.33218     0.39532     0.28096     0.29215      0.2741      0.2745     0.36895     0.26835      0.4454    -0.12834    -0.19626
eppler1210.dat                 : 0.30906     0.46823     0.18369     0.40129     0.13822      0.2853     0.20346    0.018075    0.088073   -0.023351    0.022188   -0.058564
13julA94.air                   : 0.44902     0.50933     0.46228     0.40807     0.30219     0.49287     0.57346     0.31545     0.79771     0.07481     0.24919    -0.32341
13julA94_t21.air               : 0.26193     0.29711     0.26966     0.23804     0.17628     0.28751     0.33452     0.18401     0.46533    0.043639     0.14536    -0.18866
15nov.air                      : 0.37371     0.38091     0.45361     0.37926     0.15729     0.27077     0.24368     0.37511     0.28762     0.37286    -0.21575   -0.070863
17julA59.air                   : 0.48311     0.50112     0.59734     0.37332     0.35593     0.39157     0.47723     0.31117     0.68256     0.20208    0.086746    -0.18967
AA_21.air                      : 0.217     0.42057     0.30888     0.40048      0.2314     0.23047     0.22306       0.181     0.31507    0.026171    0.012835    -0.14757
Aug20a2.air                    : 0.3783     0.37255     0.45244     0.32496     0.25796     0.35008     0.30236     0.37469     0.44614    -0.15081    0.094978    -0.10525
DU18_96.air                    : 0.19242     0.32538     0.32178     0.30124     0.21845     0.25555     0.13556     0.19854      0.1261     0.23634     0.10202    0.014109
DU21.air                       : 0.24474      0.2901     0.39438     0.30741     0.26765     0.29316     0.19419     0.26044       0.191     0.31266   -0.089436    -0.13997
DU97W30.air                    : 0.27053     0.41736     0.31172     0.32267     0.27608     0.27598     0.28774     0.52046     0.53452     0.12432      0.2306    -0.28961
Dec13A13.air                   : 0.3435       0.366     0.44278     0.25419     0.28113     0.22886     0.33114     0.41585     0.61675     0.16794    -0.24204   -0.020751
FFA21.air                      : 0.23029     0.37307     0.29187     0.29017     0.19365     0.17008     0.18647     0.24837     0.29706     0.23459   -0.094289    -0.11564
Jan25A1.air                    : 0.34213     0.45566     0.39407     0.41674     0.31749     0.27785     0.25772     0.48455     0.49723    -0.16599     0.24183    -0.24746
NACA23021.air                  : 0.33918     0.29374      0.2919     0.25627     0.26191     0.25915     0.25072     0.24677     0.26609      0.2128     0.23974     0.22979
NACA2421.air                   : 0.30964     0.33122     0.32786     0.29352     0.31207     0.31171     0.29074     0.20335     0.23497     0.17364     0.19034     0.17715
NACA4421.air                   : 0.31909     0.39516      0.3743     0.35346     0.37294     0.37898     0.28129     0.13941     0.18854     0.11371     0.12946     0.10987
S804_mod.air                   : 0.27976     0.43194     0.31439     0.33367     0.22751     0.37013     0.18952    0.061292     0.26704   -0.057422     0.06234    -0.23713
S807_mod.air                   : 0.24289     0.43528     0.13082     0.32056     0.19405     0.38589     0.20889     0.23026     0.43575    0.051133     0.13885    -0.17726
S809.air                       : 0.17716     0.24843     0.27849     0.36286    0.095457     0.25767     0.12788     0.23981     0.42584     0.23841    0.089595   -0.014816
S818.air                       : 0.22449     0.35518     0.36233     0.24763     0.31933     0.43532     0.17947      0.3602     0.53014    -0.20916      0.2789    -0.32943
WE_5Dez.air                    : 0.22552      0.3731     0.36897    0.057556     0.19097     0.29287     0.23864     0.17072     0.35124     0.16636     0.11844    -0.04141
Z19AprCOMP.air                 : 0.46184     0.25508     0.34293     0.29947     0.23162      0.3038     0.14021     0.29082      0.1595     0.32949    0.055317     0.17403
Z20AprAct.air                  : 0.38672     0.28093      0.3958     0.16316     0.20553     0.30355     0.18665      0.2378     0.27798     0.14495     0.22035     0.17838
Z20AprWE.air                   : 0.38708     0.30669     0.37156     0.19997     0.15122     0.31076     0.20417     0.21554     0.25945     0.17159     0.18447     0.19577
ZZjun10a13_2014.air            : 0.26759     0.38158     0.40729     0.37266     0.15223     0.38491     0.22684      0.2783     0.31272     0.19752   -0.041057    -0.13624
clarky.air                     : 0.1697     0.33284     0.11208     0.36651     0.16861     0.26972     0.15519    0.015573     0.11655   -0.012286    0.078412    0.022124
free225.air                    : 0.25433     0.35464     0.33852     0.58279     0.12319     0.25698     0.22801     0.24208     0.19721     0.15008    0.040403    -0.34901
goe770.air                     : 0.3678     0.35254     0.49553     0.20684     0.31147       0.229     0.16388     0.17062     0.18597     0.15945     0.09764      0.1293
may7a18.air                    : 0.43463     0.37992     0.59838     0.36998     0.24185      0.2968     0.31271     0.52294     0.59337     0.44309    -0.25634    -0.10825
naca0015.air                   : 0.20553     0.20007      0.1842     0.18004      0.1692     0.17704     0.22455     0.17802     0.22456     0.14574     0.19582     0.16906
naca1412.air                   : 0.1741     0.18693     0.18014     0.16627     0.17193     0.17364     0.16962     0.11678     0.14455    0.096927     0.11832     0.10394
naca2412.air                   : 0.18481     0.21241     0.21515     0.18659     0.20989     0.20519     0.15898    0.091083     0.10988    0.076294    0.080582     0.07232
naca2415.air                   : 0.22204     0.25703     0.24367     0.22974     0.23819     0.24233     0.20758       0.122     0.16369     0.09747     0.12585     0.10418
naca4412.air                   : 0.19584     0.27497     0.26431     0.24458      0.2723     0.27229     0.14803    0.028105    0.061339    0.017747    0.018542   0.0051142
naca4415.air                   : 0.22438     0.32991     0.27392     0.30387     0.28799     0.31316      0.2056    0.048103     0.13532     0.02135    0.077274    0.032759
naca634221.air                 : 0.25426     0.27518     0.36515     0.26604     0.25654      0.1111      0.2026     0.26119     0.26629     0.23723     0.16179   -0.017984
naca634421.air                 : 0.28436     0.27286     0.42881     0.26545      0.3143     0.17145      0.1807     0.24577     0.22986     0.20947     0.12342   -0.086039
naca644221.air                 : 0.2554     0.22561     0.42574     0.22791     0.29673     0.11647     0.20527     0.21075     0.32557     0.20174     0.19985   -0.012126
naca644421.air                 : 0.28456     0.22394     0.48998     0.22643     0.35496     0.17699     0.18403     0.19511     0.28813     0.17568      0.1601   -0.079688
naca654421.air                 : 0.25509     0.24534     0.41328     0.34246     0.34325     0.21453     0.16547     0.19399     0.24142     0.26381     0.16611   -0.051975
rvhl16.air                     : 0.23766     0.38721      0.1133     0.13642     0.26821     0.21019     0.28192     0.25572    -0.18461     0.16709   -0.072739    -0.29684
sep12a23.air                   : 0.34467      0.3685      0.4598     0.37084     0.16192     0.27811     0.33596     0.47421     0.16856    0.026412   -0.013717    -0.16831
sep13a1.air                    : 0.40598     0.37628     0.48161     0.37194     0.21311     0.12043     0.28687     0.29528     0.48416    -0.18368    0.031925    -0.15203
whisper_population10.air       : 0.29066     0.37852     0.40026     0.51641     0.29399     0.25217     0.16138     0.24959    0.063503     0.13444   -0.083187    -0.17801
whisper_population145.air      : 0.29053     0.35699     0.28692     0.58932     0.26738     0.27281     0.16487     0.22239   -0.022303     0.23759     0.12229    -0.20309
whisper_population45.air       : 0.29224     0.39127      0.4318     0.49645      0.3057      0.2511     0.16384     0.27809     0.02276     0.15667   -0.060478    -0.20138
whisper_population90.air       : 0.29248     0.38677     0.39331      0.5208     0.30925     0.24589     0.15576     0.29203   -0.033712     0.25119    0.078394    -0.26133
